root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
output/experiments,B30_c30_a1p00_b1p00,20260707-183220_p64_i300,64,0.3893235156448583,-4.434190127822855,3.67967847391117e-05,23.999269964165634,,8.999893630838796,-0.2773434843551417,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260706-063038_p64_i300,64,0.3915987818155364,-3.2040508378804438,0.0006250995152525882,19.999663131364883,,9.999852874579767,-0.2750682181844636,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260708-011713_p64_i800,6702,0.3916039155745685,-3.2000647511377727,0.00063086327890455,19.999672169574588,,9.999857668539132,-0.27506308442543154,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260708-050346_p64_i300,49,0.39223386027862694,-3.1996709429736634,0.0006314355905352333,19.999672909009213,,9.999857540018816,-0.27443313972137307,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260708-011713_p64_i800,6701,0.39341819589381943,-3.196416216753857,0.0006361855246725998,19.99967724614823,,9.999859116429553,-0.2732488041061806,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260706-055713_p64_i300,41,0.3965869323400084,-3.149620346798983,0.0007085649297049286,19.999733339111735,,9.999870674718741,-0.2700800676599916,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260706-055721_p64_i300,41,0.3979113497432519,-3.1468752985891215,0.0007130577450050564,19.99973142206253,,9.999868828710737,-0.26875565025674814,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260706-063038_p64_i300,33,0.48907676577525955,-2.9480735479077587,0.0011270065810929173,10.998640740642635,,9.998939922465427,-0.17759023422474046,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260707-005006_p64_i4000,5665,0.5541034386124546,-2.682144942561034,0.0020790027195746372,11.999642485044205,,5.999821242522103,-0.11256356138754542,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260707-182020_p64_i300,51,0.6459641610984055,-2.3234633196793713,0.004748283930449786,7.999755149610089,,3.9998825315600985,-0.020702838901594522,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260707-182012_p64_i300,21,0.646929784949185,-2.3207621642115717,0.004777908580439931,7.999767279230746,,3.9998911124809617,-0.01973721505081505,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260707-182020_p64_i300,21,0.6469301115187779,-2.320733936758762,0.004778219136013748,7.999770930645644,,3.9998929711236433,-0.019736888481222126,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260708-043948_p64_i300,49,0.6469527216955411,-2.3205554217999627,0.004780183607033917,7.999779841763283,,3.999897649607108,-0.019714278304458932,,,1.0,(1+0j)
output/experiments,B30_c30_a1p00_b1p00,20260708-043957_p64_i300,49,0.6471482472711657,-2.3196578550507647,0.004790073142291521,7.999778177069247,,3.9998966620828273,-0.0195187527288343,,,1.0,(1+0j)
