root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
output/experiments,B30_c30_a2p73_b1p41,20260706-014128_p64_i300,64,0.49135974687816475,-5.441594456859211,3.6174750391831745e-06,16.999717725040963,,7.999871171017648,-0.5979562531218352,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-012550_p64_i300,64,0.4913821895145739,-5.407828821677251,3.909949771326405e-06,16.99972306839539,,7.999872278808832,-0.597933810485426,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-010144_p64_i300,64,0.4913900667732886,-5.356934012977625,4.3960840478740325e-06,16.99971628932402,,7.99986746787211,-0.5979259332267113,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260707-053157_p64_i800,10707,0.4914102360005288,-5.355551499744137,4.410100639256806e-06,16.999718558213537,,7.9998684386875105,-0.5979057639994712,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-003742_p64_i300,64,0.4914102360005288,-5.355551499744137,4.410100639256806e-06,16.999718558213537,,7.9998684386875105,-0.5979057639994712,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260707-102644_p64_i300,17,0.49144407823738545,-5.353369378046856,4.4323150436858396e-06,16.99970700430408,,7.999864936875367,-0.5978719217626145,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-001339_p64_i300,41,0.4918759840153711,-4.638448527109573,2.2990661800734143e-05,16.999646670758423,,7.999841110419772,-0.5974400159846289,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-010148_p64_i300,33,0.4918885172316954,-4.637102907083907,2.3062006643807812e-05,16.99964410944058,,7.999839734208891,-0.5974274827683046,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260707-053157_p64_i800,10705,0.4918954232854087,-4.636103392385808,2.3115144229668463e-05,16.999642531558255,,7.9998392040259825,-0.5974205767145913,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-010144_p64_i300,33,0.4918954232854087,-4.636103392385808,2.3115144229668463e-05,16.999642531558255,,7.9998392040259825,-0.5974205767145913,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-014128_p64_i300,49,0.49207770949836227,-4.63014906175589,2.3434243498776216e-05,16.999636160455783,,7.999837182533309,-0.5972382905016377,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-012550_p64_i300,33,0.492446967034422,-4.627585058947983,2.357300460566644e-05,16.999634363588296,,7.999838039733472,-0.5968690329655779,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260706-010148_p64_i300,49,0.5012004682513633,-4.48301933401488,3.288369913144231e-05,14.999679588240868,,5.9998996295570795,-0.5881155317486366,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260705-234930_p64_i300,49,0.5012760682628926,-4.4597081771892535,3.4696991748385666e-05,14.999645931601007,,5.999889213381005,-0.5880399317371073,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260705-234930_p64_i300,57,0.5013234062295178,-4.4494939822383115,3.5522704061915224e-05,14.999630600500982,,5.999884052391154,-0.5879925937704822,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260705-110134_p64_i300,64,0.5015200825984145,-4.449003433070303,3.556285073371046e-05,14.999622734142315,,5.999882414213507,-0.5877959174015854,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260705-110126_p64_i300,64,0.5015639252770574,-4.44554816044033,3.584691941644831e-05,14.999617240647174,,5.999881236221078,-0.5877520747229426,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260705-232539_p64_i300,64,0.5021740061422897,-4.418189916541583,3.817772835076413e-05,14.999568734397315,,5.99986521680173,-0.5871419938577103,,,2.7320508,(1+1j)
output/experiments,B30_c30_a2p73_b1p41,20260704-065137_p64_i300,64,0.5095579973839746,-3.7400241096978823,0.00018195998413923884,15.999838098511763,,7.999897553186577,-0.5797580026160254,,,2.7320508,(1+1j)
