nls_db,O,prob,Nc,k_det,leaves,max_pnr,gbs_sq_db,geno,han_Nc,han_prob,han_gain,han_sq_db,run,wigner
0.28,0.8989,0.01597297566194231,2,1,5,2,16.23,B30B,2,0.3194011650477408,19.99634706817688,1.72,20260225-222501_p64_i2500,
1.87,0.6242,0.0002374943416364045,6,4,4,4,14.44,B30B,4,0.024354256990839592,102.54668310424466,6.72,20260225-214703_p64_i2500,
1.63,0.6594,0.0003993453561482279,6,4,4,4,14.4,B30B,4,0.023098046990414338,57.839778614680746,6.61,20260225-074009_p64_i2500,
