best_des,best_exp,best_idx,best_logp,cycle,depth,genotype,logp_below_-40,logp_positive,n_cells,n_obj,n_subG,n_subG_zero_dng,n_subG_zero_photon,n_valid,phase,run,sub_dng_med,sub_dng_min,sub_phot_med,sub_phot_min,sub_pnr_max,target
"[2.0, 9.999883004321216, 19.999765209430244, 4.270697037720879]",0.4926305816949832,6700,-3.2087917488872955,c0,d4,B30F,0,0,38250,2,8,0,0,5260,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-073738_p64_i1500,4.023365688213137,3.8612779516797993,19.999765209430244,17.99978876840844,9.999883004321216,a1p00_b1p00
"[5.0, 9.999836232768281, 22.9994934099524, 4.152633664691969]",0.4880629585870298,13499,-5.782915376171451,c0,d4,B30F,0,0,38250,2,41,0,0,5439,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-093500_p64_i1500,4.176877316576235,3.714649896662367,19.99976487364576,17.999786789800496,9.999883001721116,a1p00_b1p00
"[5.0, 9.999836343111566, 22.942922546043864, 4.1463157520244405]",0.47765573515058574,13496,-5.78155605201615,c0,d4,B30F,0,0,38250,2,41,0,0,5166,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-113209_p64_i1500,4.1477579800775555,3.80857137012665,19.99976487364576,17.998545999358473,9.99988243682532,a1p00_b1p00
"[4.0, 9.99983450646826, 21.939803481987987, 4.169891394342269]",0.45614531934989394,11249,-4.938109560254918,c0,d4,B30F,0,0,38250,2,36,0,0,5162,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-133016_p64_i1500,4.135748640195375,3.967493480111214,20.942955274398493,17.99970210861531,9.999836343111454,a1p00_b1p00
"[4.0, 9.999833451651567, 21.939694967080076, 4.335022158238878]",0.4458881142601187,11247,-4.937418008030122,c0,d4,B30F,0,0,38250,2,28,0,0,5191,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-152923_p64_i1500,4.188769791650397,3.6976824388839695,21.45663798558099,17.999700338727703,9.999883937064746,a1p00_b1p00
"[4.0, 9.999833453456722, 21.10486532303446, 4.3350201054067306]",0.4458890854219483,11201,-4.937418008030122,c0,d4,B30F,0,0,38250,2,41,0,0,5301,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-172737_p64_i1500,4.187779247703798,3.940285645632276,20.94933991328625,17.999621645196402,9.999833521519648,a1p00_b1p00
"[4.0, 9.999833397143753, 21.939384826334418, 4.206494492436441]",0.43259368193449577,11248,-4.937418008030122,c0,d4,B30F,0,0,38250,2,35,0,0,5237,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-193113_p64_i1500,4.185574055914099,3.9217960796170033,20.984887784358325,17.99970033873607,9.999853924492925,a1p00_b1p00
"[5.0, 9.999526986805478, 21.853694029792383, 4.267429563171397]",0.4291235578579415,13498,-5.775668755073564,c0,d4,B30F,0,0,38250,2,37,0,0,5422,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260704-214402_p64_i1500,4.156466328662249,3.921825746749226,19.999666635185058,17.99979458016199,9.99988599862175,a1p00_b1p00
"[5.0, 9.999526986767622, 21.85369401473418, 4.236044918175107]",0.4237594145798273,13498,-5.77572167163564,c0,d4,B30F,0,0,38250,2,32,0,0,5351,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-000217_p64_i1500,4.189215028726684,3.9844830730449914,21.028478709906885,17.999705404208257,9.999836335671255,a1p00_b1p00
"[5.0, 9.999526986767622, 21.85369401473418, 4.237452120964388]",0.42362462715247945,13497,-5.775717836288945,c0,d4,B30F,0,0,38250,2,36,0,0,5332,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-022029_p64_i1500,4.18908033345129,3.5906961614181956,19.999666635177263,17.99962223576506,9.999866665167529,a1p00_b1p00
