best_des,best_exp,best_idx,best_logp,cycle,depth,genotype,logp_below_-40,logp_positive,n_cells,n_obj,n_subG,n_subG_zero_dng,n_subG_zero_photon,n_valid,phase,run,sub_dng_med,sub_dng_min,sub_phot_med,sub_phot_min,sub_pnr_max,target
"[3.0, 5.99990311737796, 13.999765827586755, 4.020305167277515]",0.5754837025617355,7915,-3.5204738676722505,c0,d5,B30F,0,0,74250,2,31,0,0,4713,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260705-014302_p64_i800,4.494433214745545,1.3143671398281995,15.999800362596037,3.999915522975234,9.999888160560102,a2p73_b1p41
"[2.0, 9.999239175722225, 10.99609002561594, 2.1269993487293912]",1.063846858919002,6524,-3.79085875037901,c1,d3,B30F,0,0,20250,2,5,0,0,6247,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260705-124321_p64_i4000,1.9064529118234093,1.3595469222131975,11.999749984997091,10.98911840532073,9.999239175722225,a2p73_b1p41
"[4.0, 4.999907428510904, 11.999758113221866, 3.0447701725697627]",0.9330996382023058,10169,-4.243927342286501,c1,d3,B30F,0,0,20250,2,15,0,0,6527,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260705-165810_p64_i4000,2.9521071601951325,1.3595469222131975,11.999766716914054,9.999325133298054,5.999957680496212,a2p73_b1p41
"[4.0, 4.9999131734724775, 11.999769612954056, 1.8448646835622438]",1.029760762872634,10167,-4.225109842229899,c1,d3,B30F,0,0,20250,2,11,0,0,6434,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260705-211049_p64_i4000,1.8448646835622438,1.3595469222131975,11.999766716914054,11.999594389275472,5.999866433217906,a2p73_b1p41
"[3.0, 7.99990223574785, 9.999866934085796, 3.9812847245241407]",0.7541066827215231,8322,-3.2643945317838714,c1,d4,B30F,0,0,38250,2,62,0,0,5613,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260706-110648_p64_i1500,3.748285283920781,1.3595469222131975,14.999507552775377,5.999905652762959,9.999633067852164,a2p73_b1p41
"[4.0, 7.999902264790057, 9.999866965786495, 3.9801372937117865]",0.7533225441910532,10574,-4.135759881830787,c1,d4,B30F,0,0,38250,2,68,0,0,5582,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260706-125649_p64_i1500,3.9801439797590223,1.3595469222131975,12.999846477217467,7.9998907770022205,9.999923809319032,a2p73_b1p41
"[4.0, 7.999902264790057, 9.999866965786495, 3.9801372937117865]",0.7533225441910532,10574,-4.135759881830787,c1,d4,B30F,0,0,38250,2,68,0,0,5582,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260706-145025_p64_i1500,3.9801439797590223,1.3595469222131975,12.999846477217467,7.9998907770022205,9.999923809319032,a2p73_b1p41
"[3.0, 5.999858643087392, 13.999667905333782, 3.9955097548546377]",0.559279299758846,7915,-3.518708865711116,c1,d5,B30F,0,0,74250,2,46,0,0,4813,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260706-211150_p64_i800,3.9955097548546235,1.4762440749615227,13.999667905333782,3.999915522975234,9.999930121104232,a2p73_b1p41
"[4.0, 5.999905356594591, 13.999777626343121, 3.9606482496420465]",0.5580748951032408,10168,-4.484614298547609,c1,d5,B30F,0,0,74250,2,28,0,0,4621,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260706-231729_p64_i800,3.9606482496420465,1.4762440749615184,11.999846396315066,3.999915522975234,7.9999390470530045,a2p73_b1p41
"[4.0, 5.999905356594591, 13.999777626343121, 3.9606482496420465]",0.5580748951032408,10168,-4.484614298547609,c1,d5,B30F,0,0,74250,2,28,0,0,4621,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260707-011924_p64_i800,3.9606482496420465,1.4762440749615184,11.999846396315066,3.999915522975234,7.9999390470530045,a2p73_b1p41
"[3.0, 7.999934147980847, 17.999678587185297, 4.115692689034191]",0.4202556114953607,8455,-4.041921299672552,c0,d3,B30,0,0,20250,2,82,0,0,7577,B_b30,output/experiments/B30_c30_a0p00_b1p00/20260710-163928_p64_i4000,4.08124055007948,3.2741497377467326,15.999615101200863,7.999566221155753,9.999918184317869,a0p00_b1p00
"[3.0, 7.999934147980847, 17.999678587185297, 4.115692689034191]",0.4202556114953607,8455,-4.041921299672552,c0,d3,B30,0,0,20250,2,98,0,0,7506,B_b30,output/experiments/B30_c30_a0p00_b1p00/20260710-192621_p64_i4000,4.090427572441367,3.293804630355438,13.999885418590463,5.9998679411662925,9.999940883263825,a0p00_b1p00
"[3.0, 7.999945047438787, 17.99976642624037, 4.206864879101534]",0.423717751728903,64,-4.1146395720507725,c0,d3,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a0p00_b1p00/20260710-220622_p64_i300,4.168564411549664,4.127847285991104,15.99985932157269,15.999716708004685,9.999918521962364,a0p00_b1p00
"[3.0, 7.999945047438787, 17.99976642624037, 4.206864879101534]",0.423717751728903,64,-4.1146395720507725,c0,d3,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a0p00_b1p00/20260710-220631_p64_i300,4.168564411549664,4.127847285991104,15.99985932157269,15.999716708004685,9.999918521962364,a0p00_b1p00
"[3.0, 7.9999458153133975, 17.999770802013295, 4.209277599605002]",0.4238918836929158,64,-4.108119356883963,c0,d3,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a0p00_b1p00/20260710-221622_p64_i300,4.154219889334065,3.970092433925288,15.999873238405717,9.999844466671629,9.99989669632448,a0p00_b1p00
"[3.0, 7.9999458153133975, 17.999770802013295, 4.209277599605002]",0.4238918836929158,64,-4.108119356883963,c0,d3,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a0p00_b1p00/20260710-221630_p64_i300,4.154219889334065,3.970092433925288,15.999873238405717,9.999844466671629,9.99989669632448,a0p00_b1p00
"[2.0, 9.999917505561331, 17.999845964370518, 4.1462098534897205]",0.415063980106103,6655,-3.105915725797835,c0,d4,B30,0,0,38250,2,58,0,0,9895,B_b30,output/experiments/B30_c30_a0p00_b1p00/20260711-024742_p64_i1500,4.075479453127899,3.567278935290756,17.961154954414372,7.999901282345196,9.999948138442768,a0p00_b1p00
"[2.0, 9.999917505561331, 17.999845964370518, 4.1462098534897205]",0.415063980106103,6655,-3.105915725797835,c0,d4,B30,0,0,38250,2,65,0,0,9946,B_b30,output/experiments/B30_c30_a0p00_b1p00/20260711-042542_p64_i1500,4.109108182917135,3.3580198951081153,15.999867950068158,7.99985066197324,9.999928155140626,a0p00_b1p00
"[2.0, 9.99991722216036, 17.999848356622255, 4.190769245810074]",0.4281241053119675,64,-3.1284614886593647,c0,d4,B30,0,0,65,2,9,0,0,64,C_adam0,output/experiments/B30_c30_a0p00_b1p00/20260711-055540_p64_i300,4.1002056379887115,4.012251281551551,13.99990080510875,11.999916570678822,9.99992164218903,a0p00_b1p00
"[2.0, 9.99991722216036, 17.999848356622255, 4.190769245810074]",0.4281241053119675,64,-3.1284614886593647,c0,d4,B30,0,0,65,2,9,0,0,64,C_adam1,output/experiments/B30_c30_a0p00_b1p00/20260711-055548_p64_i300,4.1002056379887115,4.012251281551551,13.99990080510875,11.999916570678822,9.99992164218903,a0p00_b1p00
"[2.0, 9.999931251664075, 17.999874169861926, 4.190902744939667]",0.42810065748992554,64,-3.120258636338019,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a0p00_b1p00/20260711-061108_p64_i300,4.138853023781522,3.9733179064537136,15.999762383440231,11.999845124814938,9.999931575603076,a0p00_b1p00
"[2.0, 9.999921575190196, 17.99985650639816, 4.191700970022762]",0.4279798419320872,1,-3.1236558116786477,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a0p00_b1p00/20260711-062052_p64_i300,4.136555275684376,3.9701865375064944,15.99976530288728,11.999854429751611,9.999935458455628,a0p00_b1p00
"[2.0, 9.999923969708652, 17.999860865928962, 4.1925542981923485]",0.42797235767469616,64,-3.121046171277229,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a0p00_b1p00/20260711-063036_p64_i300,4.130055243381756,4.059644111367698,15.99980533012927,13.999827877633722,9.999934099497862,a0p00_b1p00
"[2.0, 9.999923969708652, 17.999860865928962, 4.1925542981923485]",0.42797235767469616,64,-3.121046171277229,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a0p00_b1p00/20260711-063037_p64_i300,4.130055243381756,4.059644111367698,15.99980533012927,13.999827877633722,9.999934099497862,a0p00_b1p00
"[2.0, 9.999934336562937, 17.999879950271062, 4.192935592647977]",0.42807047419032684,64,-3.1154901025851927,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a0p00_b1p00/20260711-064018_p64_i300,4.1358810709377,4.059137714972863,15.999784103304789,13.999832190854404,9.999934363096212,a0p00_b1p00
"[1.0, 5.991599040708267, 5.991599040708267, 1.4173474290175208]",0.7196239880589798,3276,-0.8505954899308281,c0,d3,B30,0,0,20250,2,0,,,6860,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260703-105643_p64_i4000,,,,,,a1p00_b1p00
"[6.0, 5.999874983088704, 11.99972974018796, 3.4523639691967674]",0.6634950172518708,14665,-4.642688917714401,c0,d3,B30,0,0,20250,2,1,0,0,6569,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260703-144834_p64_i4000,3.4523639691967674,3.4523639691967674,11.99972974018796,11.99972974018796,5.999874983088704,a1p00_b1p00
"[6.0, 5.999874983087816, 11.999729740200108, 3.452364103374924]",0.6634950649716477,14665,-4.642688933680355,c0,d3,B30,0,0,20250,2,2,0,0,6693,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260703-182940_p64_i4000,3.452364103374924,3.452364103374924,11.999729740200108,11.999729740200108,5.999874983087816,a1p00_b1p00
"[1.0, 0.9999832589201302, 1.9999528522807288, 1.3778258107791614]",0.7380800302387666,64,-3.73301005108012,c0,d3,B30,0,0,65,2,0,,,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-220449_p64_i300,,,,,,a1p00_b1p00
"[1.0, 0.99998460180841, 1.9999566651986291, 1.3802261250235113]",0.7380895551920714,64,-3.6941706228054696,c0,d3,B30,0,0,65,2,0,,,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-220457_p64_i300,,,,,,a1p00_b1p00
"[3.0, 7.9996705211235115, 10.99932558768206, 3.819556993868421]",0.49451407649151885,64,-3.2281401477646607,c0,d3,B30,0,0,65,2,6,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-221842_p64_i300,3.8201749456716882,3.6809401270351714,11.99869945253867,10.999317467573693,7.999789337740253,a1p00_b1p00
"[6.0, 5.9998580188669655, 11.999708358571036, 3.682043026282411]",0.5041800068542718,64,-4.624359202098061,c0,d3,B30,0,0,65,2,6,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-221851_p64_i300,3.7549184597496046,3.6701686538543274,11.999415667618045,11.997577745258063,7.999796999481905,a1p00_b1p00
"[3.0, 7.999720374876462, 11.999599499586104, 3.949824777184862]",0.4641770536366124,64,-3.3978659012976906,c0,d3,B30,0,0,65,2,5,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-222606_p64_i300,3.742998424461126,3.682500669880138,11.99959298776961,10.999293833288542,7.999720374876462,a1p00_b1p00
"[3.0, 7.999549041776749, 10.999110181808694, 3.801341265831663]",0.4930949949731641,64,-3.3099258681040515,c0,d3,B30,0,0,65,2,5,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-222613_p64_i300,3.7453638653911145,3.6813888827063987,10.999329758304567,10.999110181808694,7.999600931519703,a1p00_b1p00
"[3.0, 7.9995680268941, 12.999172665651846, 3.994492251622713]",0.45519868120823304,64,-3.553170258809445,c0,d3,B30,0,0,65,2,6,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-223325_p64_i300,3.873814004479293,3.7404328090141448,11.49935105813299,10.998967807422636,7.999650723747733,a1p00_b1p00
"[3.0, 7.999642946960984, 11.99949826636643, 3.9528253834142184]",0.4632577273620762,64,-3.4073193040358554,c0,d3,B30,0,0,65,2,6,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-223329_p64_i300,3.8728166249826526,3.736142403164605,11.49888135976818,10.99887202837284,7.999642946960984,a1p00_b1p00
"[3.0, 8.999712694797132, 13.999528651865917, 4.009600994550134]",0.4509908169487088,64,-3.587859092771009,c0,d3,B30,0,0,65,2,8,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-224010_p64_i300,3.939715427895238,3.740800187091871,11.99945527589033,10.998981585978541,8.999712694797132,a1p00_b1p00
"[3.0, 7.9995680268941, 12.999172665651846, 3.994492251622713]",0.45519868120823304,64,-3.553170258809445,c0,d3,B30,0,0,65,2,8,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-224013_p64_i300,3.953179994374305,3.7361277361993483,11.999434881777933,10.998939707457879,7.999635102442088,a1p00_b1p00
"[3.0, 8.999650994464876, 13.999416258040418, 4.012713547014824]",0.45079509570354814,64,-3.6164851520634835,c0,d3,B30,0,0,65,2,10,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-224742_p64_i300,3.9579196243367694,3.740988058659161,11.999440824904564,10.998984950118674,8.999650994464876,a1p00_b1p00
"[3.0, 8.99957457680247, 13.99926080539929, 4.0123495202315524]",0.45064819719203264,64,-3.669391926627873,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260703-225515_p64_i300,3.9875499358573627,3.8775533703055363,12.999036512265887,11.999119857808614,8.9996810212923,a1p00_b1p00
"[3.0, 9.999517480837726, 14.999094046320092, 4.047411981219682]",0.44476539810668997,64,-3.8389781451633453,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-230352_p64_i300,3.9697427516825865,3.8987307914559963,13.998394880666753,11.999208171068412,9.999517480837726,a1p00_b1p00
"[3.0, 9.99939619477512, 14.998796792168053, 4.047512708902202]",0.44393380864703613,64,-4.018109518606675,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-231124_p64_i300,3.98398959267673,3.8854433687582457,13.999272729957209,11.999209432946008,9.999540367876937,a1p00_b1p00
"[3.0, 9.999269123694232, 14.998461361236982, 4.048075623133178]",0.443799016830237,64,-4.2171264992723865,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-231728_p64_i300,3.997507734519857,3.841047336931851,14.998452849015065,12.999047598902113,9.999763135226745,a1p00_b1p00
"[3.0, 9.999147332435479, 14.998077931687968, 4.0459682926763865]",0.4437402955593942,64,-4.430316791386235,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-232305_p64_i300,3.988742747127347,3.8442140551940156,14.998208683720607,13.998601159868633,9.999755686005672,a1p00_b1p00
"[3.0, 9.998983822117486, 14.997510939538971, 4.045661296173712]",0.44368135013405985,64,-4.7231307109547265,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-232843_p64_i300,4.041978990148589,3.8390287270592456,14.998196919204837,13.998513520548986,9.999764713582,a1p00_b1p00
"[3.0, 9.998882400201888, 15.995640610052861, 4.138613928273941]",0.4320863378551486,64,-4.62065190022589,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-233516_p64_i300,4.041993170694845,3.843544950739995,14.997911663751497,14.996766133498227,9.999751482940043,a1p00_b1p00
"[3.0, 9.998787428504249, 15.995121245800792, 4.140819983544281]",0.4320625145116888,64,-4.78486358866623,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-234050_p64_i300,4.045851033589187,3.822719530050982,14.998437133596914,14.997006636120629,9.99974786210564,a1p00_b1p00
"[3.0, 9.998783362606499, 15.995502196948891, 4.1375022991091726]",0.43202337772414534,64,-4.790582696509332,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300,4.078279952775919,3.945014143981309,14.998772215124117,14.99718962418706,9.99976299054829,a1p00_b1p00
"[3.0, 9.998683649223908, 15.995626351689172, 4.139354546405324]",0.4319852473919382,64,-4.9753673569716,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-235238_p64_i300,4.121495196451724,3.9511654646908116,15.20408767554557,14.997552467775165,9.999765151511404,a1p00_b1p00
"[3.0, 9.998683649223908, 15.995626351689172, 4.139354546405324]",0.4319852473919382,64,-4.9753673569716,c0,d3,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300,4.131704512680484,3.9264252275884512,15.994862129389118,14.996736474286372,9.999761563577096,a1p00_b1p00
"[4.0, 3.9986876016351154, 6.998093633561887, 1.4269036970091489]",0.7200146690131506,10070,-2.6093612549826997,c0,d4,B30,0,0,38250,2,0,,,8563,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260705-091351_p64_i1500,,,,,,a1p00_b1p00
"[3.0, 9.998787428504249, 15.995121245800792, 4.1408199728315545]",0.4230339517362701,8861,-4.784863588636184,c0,d4,B30,0,0,38250,2,28,0,0,9101,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260705-114906_p64_i1500,4.035069904216781,3.5637683536013673,15.995372079201065,10.99666653425315,9.999852427523594,a1p00_b1p00
"[4.0, 9.998787428504249, 15.995121245800792, 4.140819972831556]",0.423033951736268,11110,-5.421857040350375,c0,d4,B30,0,0,38250,2,48,0,0,9227,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260705-140825_p64_i1500,4.056917541331426,3.8666463747577193,15.995455971697075,10.996334507905878,9.999858461927992,a1p00_b1p00
"[3.0, 5.9998257161801085, 17.999245975489064, 3.886752628600897]",0.5927198561077166,64,-4.662931754289933,c0,d4,B30,0,0,65,2,11,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260705-160134_p64_i300,3.6173017342728944,3.418436202880943,11.999857635379563,7.999888988316883,5.999841808302752,a1p00_b1p00
"[3.0, 5.99984270152953, 17.99944658311039, 3.985619908483086]",0.5983311988523211,64,-4.553148999404552,c0,d4,B30,0,0,65,2,8,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260705-160142_p64_i300,3.6183710461906475,3.4163885495237123,11.999866186920766,7.999888423530114,5.999889420427069,a1p00_b1p00
"[3.0, 9.998665126829989, 15.995056118975729, 4.1390029612435]",0.43200496473457395,64,-5.003778934962309,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260705-161932_p64_i300,4.103938958716737,3.9574199060126976,15.993475611196633,14.99702095330719,9.999750685715684,a1p00_b1p00
"[3.0, 9.998783499603741, 15.99544295636244, 4.139043597538684]",0.4320273372514332,64,-4.792950688138955,c0,d4,B30,0,0,65,2,10,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260705-161936_p64_i300,4.102362864390015,3.9787559554232015,15.872907937450691,14.995787998630783,9.9996967230122,a1p00_b1p00
"[3.0, 9.998665126829989, 15.995056118975729, 4.1390029612435]",0.43200496473457395,64,-5.003778934962309,c0,d4,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260705-163249_p64_i300,4.103938958716737,3.9574199060126976,15.993475611196633,14.99702095330719,9.999750685715684,a1p00_b1p00
"[3.0, 9.998783499603741, 15.99544295636244, 4.139043597538684]",0.4320273372514332,64,-4.792950688138955,c0,d4,B30,0,0,65,2,10,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260705-163251_p64_i300,4.102362864390015,3.9787559554232015,15.872907937450691,14.995787998630783,9.9996967230122,a1p00_b1p00
"[8.0, 0.9976916237992072, 0.9979654508724107, 1.410417928581192]",0.7198533481126254,18037,-4.507977368408105,c0,d5,B30,0,0,74250,2,0,,,8651,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260705-230859_p64_i800,,,,,,a1p00_b1p00
"[3.0, 9.998787428504249, 15.995121245800792, 4.1408199728315545]",0.4230339517362703,8864,-4.784863588636184,c0,d5,B30,0,0,74250,2,14,0,0,8381,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260706-013305_p64_i800,4.046147472381466,3.5585468048811384,15.995121245800792,14.998097863348725,9.999223076155427,a1p00_b1p00
"[3.0, 9.998787428504249, 15.995121245800792, 4.1408199728315545]",0.4230339517362703,8864,-4.784863588636184,c0,d5,B30,0,0,74250,2,10,0,0,8119,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260706-034548_p64_i800,4.1408199728315545,4.046048653440593,15.995121245800792,14.996381994315303,9.999223076155427,a1p00_b1p00
"[2.0, 9.9998704480644, 19.999732557849697, 4.147666375409326]",0.3892989604537903,33,-3.150330193587014,c0,d5,B30,0,0,65,2,10,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260706-055713_p64_i300,3.746898974467709,3.417211504968387,14.999616228683745,7.999624348177817,9.999870674718741,a1p00_b1p00
"[2.0, 9.999868828710737, 19.99973142206253, 4.153218738260032]",0.3911704547460849,41,-3.1468762232616547,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260706-055721_p64_i300,3.8655774824234577,3.417051820449795,17.999367108860717,7.99989342970063,9.999868828710737,a1p00_b1p00
"[2.0, 9.999852874579767, 19.999663131364883, 4.201548735732121]",0.37558119340532653,64,-3.2040508378804127,c0,d5,B30,0,0,65,2,8,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260706-063038_p64_i300,4.079228961784392,3.4826781323244083,15.499212423830071,7.99987877874743,9.999856796256973,a1p00_b1p00
"[2.0, 9.999852874579767, 19.999663131364883, 4.201548735732082]",0.3755811934053292,64,-3.204050837880466,c0,d5,B30,0,0,65,2,8,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260706-063040_p64_i300,4.079228961784373,3.4826781323244083,15.499212423830071,7.99987877874743,9.999856796256973,a1p00_b1p00
"[2.0, 9.999855193881654, 19.999667386068023, 4.20476955033585]",0.3754421132550144,64,-3.201955496873435,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260706-065841_p64_i300,4.204649147216294,3.894697561481834,19.999667213386225,10.998759844685624,9.999858268662617,a1p00_b1p00
"[2.0, 9.999855193881654, 19.999667386068023, 4.2047695503358575]",0.37544211325501414,64,-3.201955496873419,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260706-065843_p64_i300,4.204649147216259,3.894697561481834,19.999667213386225,10.998759844685624,9.999858268662617,a1p00_b1p00
"[2.0, 9.999854836844197, 19.999666700324177, 4.204908194501417]",0.37543768330087657,64,-3.20225077920923,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260706-072539_p64_i300,4.20379682250298,4.197853974733075,19.999670092911508,19.999666700324177,9.999859048519285,a1p00_b1p00
"[2.0, 9.999854836844197, 19.999666700324177, 4.204908194501421]",0.3754376833008781,64,-3.2022507792092485,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260706-072544_p64_i300,4.20379682250298,4.197853974733075,19.999670092911508,19.999666700324177,9.999859048519285,a1p00_b1p00
"[2.0, 9.999854836844197, 19.999666700324177, 4.204908194501417]",0.37543768330087657,64,-3.20225077920923,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260706-075334_p64_i300,4.205184397059888,4.203029715485997,19.99966731367951,19.999666700324177,9.999856756150479,a1p00_b1p00
"[2.0, 9.999854836844197, 19.999666700324177, 4.204908194501417]",0.37543768330087657,64,-3.20225077920923,c0,d5,B30,0,0,65,2,9,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260706-075336_p64_i300,4.20518439705992,4.203029715486,19.99966731367951,19.999666700324177,9.999856756150479,a1p00_b1p00
"[1.0, 5.612626005019104, 5.612626005019104, 1.4116118936066244]",0.7197411751497832,3276,-1.0087213496870076,c1,d3,B30,0,0,20250,2,0,,,7058,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260706-161743_p64_i4000,,,,,,a1p00_b1p00
"[6.0, 9.778306790376343, 18.780086313943123, 1.4133104919572044]",0.7195666593745952,15650,-3.149940157593024,c1,d3,B30,0,0,20250,2,0,,,6574,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260706-203017_p64_i4000,,,,,,a1p00_b1p00
"[2.0, 5.999821242522103, 11.999642485044205, 3.822025324167985]",0.5541034386124546,5665,-2.682144925877217,c1,d3,B30,0,0,20250,2,1,0,0,6648,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260707-005006_p64_i4000,3.822025324167985,3.822025324167985,11.999642485044205,11.999642485044205,5.999821242522103,a1p00_b1p00
"[3.0, 9.789568342210353, 9.789568342210353, 1.412918746808226]",0.7195359739178031,8765,-0.7866899554773835,c1,d3,B30,0,0,20250,2,0,,,6582,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260707-051009_p64_i4000,,,,,,a1p00_b1p00
"[3.0, 5.9998601779141465, 17.999257720990464, 3.878106543083856]",0.5938175031011996,64,-4.668435192048084,c1,d3,B30,0,0,65,2,9,0,0,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260707-093303_p64_i300,3.8115714715065128,3.6042504238887894,17.99925489907238,11.999797140136119,5.999867721318671,a1p00_b1p00
"[3.0, 5.999841029799934, 17.99945319919582, 3.984196212468815]",0.5985521662230026,64,-4.550425715132659,c1,d3,B30,0,0,65,2,7,0,0,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260707-093312_p64_i300,3.7196387867864527,3.6129350915772864,11.999848584803294,11.997190620390956,6.999724889229265,a1p00_b1p00
"[7.0, 6.691980497313079, 7.98157910619842, 1.3612419293731524]",0.7380504111448754,64,-11.873254415128555,c1,d3,B30,0,0,65,2,0,,,65,C_adam0,output/experiments/B30_c30_a1p00_b1p00/20260707-094843_p64_i300,,,,,,a1p00_b1p00
"[7.0, 6.75490119239374, 8.690451819644618, 1.3528445049391238]",0.7380332308330111,64,-12.402408027463677,c1,d3,B30,0,0,65,2,0,,,65,C_adam1,output/experiments/B30_c30_a1p00_b1p00/20260707-094901_p64_i300,,,,,,a1p00_b1p00
"[0.0, 0.0, 0.0, 1.4125041870490815]",0.7195458754295138,35,0.0,c1,d4,B30,0,0,38250,2,0,,,8686,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260707-151613_p64_i1500,,,,,,a1p00_b1p00
"[4.0, 9.789568342210353, 9.789568342210353, 1.4129187468081952]",0.7195359739178028,11015,-5.142390942281366,c1,d4,B30,0,0,38250,2,0,,,9415,B_b30,output/experiments/B30_c30_a1p00_b1p00/20260707-164703_p64_i1500,,,,,,a1p00_b1p00
