key,run,cell,exp_stored,logp_stored,target,genotype,depth,phase,cycle,des,exp_hi,drift,tail,logP,n_eff,max_eff,n_active,vs_gaussian,vs_gn,verdict
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|6702|0.4510406,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,6702,0.45104059076474406,-3.2375953698717863,a1p00_b1p00,B30F,5,A,c0,"[2.0, 9.999844396999528, 19.999688072223236, 4.198735430076546]",0.45104059073037023,-3.4373837110024397e-11,8.040229119158869e-33,-3.237595374142045,19.999688072223236,9.999844396999528,2.0,-0.21562640926962978,-0.2597414092696298,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800|13450|0.4547505,output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800,13450,0.45475051464560473,-5.744456060278898,a1p00_b1p00,B30F,5,A,c0,"[5.0, 9.999700572292614, 20.99057377240648, 4.100038874324202]",0.45475051462014177,-2.5462965069777965e-11,3.68414056863046e-33,-5.744456060278922,20.99057377240648,9.999700572292614,5.0,-0.21191648537985824,-0.25603148537985826,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800|11204|0.4547771,output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800,11204,0.4547770830144569,-4.937417715641938,a1p00_b1p00,B30F,5,A,c0,"[4.0, 9.999833612160536, 21.028478711558126, 4.162866363855169]",0.45477708298113656,-3.3320346481957586e-11,7.077182413275284e-33,-4.937417714854302,21.028478711558126,9.999833612160536,4.0,-0.21188991701886345,-0.25600491701886346,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800|11245|0.4588564,output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800,11245,0.45885638091672903,-4.937413968125202,a1p00_b1p00,B30F,5,A,c0,"[4.0, 9.999833612160536, 21.896768877839097, 4.184778704557736]",0.45885638088231645,-3.4412583893583815e-11,8.518960666463502e-33,-4.937413967336672,21.896768877839097,9.999833612160536,4.0,-0.20781061911768356,-0.2519256191176836,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|11201|0.4590654,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,11201,0.4590653751231475,-4.93741401006347,a1p00_b1p00,B30F,5,A,c0,"[4.0, 9.999833677993143, 19.999666635185022, 4.1931383437982355]",0.4590653750888343,-3.431316342172863e-11,8.5598109928769e-33,-4.937414009275032,19.999666635185022,9.999833677993143,4.0,-0.20760162491116568,-0.2517166249111657,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|8954|0.4601975,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,8954,0.4601975343122002,-4.08877478406816,a1p00_b1p00,B30F,5,A,c0,"[3.0, 9.999844396999528, 19.999688072223236, 4.19895253976032]",0.4601975342776626,-3.453759500615661e-11,9.217827414152945e-33,-4.08877478546018,19.999688072223236,9.999844396999528,3.0,-0.20646946572233743,-0.25058446572233745,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|6701|0.4602178,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,6701,0.46021780003834906,-3.237533439090321,a1p00_b1p00,B30F,5,A,c0,"[2.0, 9.999844396999528, 19.999688072223236, 4.1989522770729195]",0.46021780000380824,-3.454081465292802e-11,9.221833410736191e-33,-3.2375334433589353,19.999688072223236,9.999844396999528,2.0,-0.20644919999619177,-0.2505641999961918,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800|11202|0.4612758,output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800,11202,0.4612758238307091,-4.937413968125202,a1p00_b1p00,B30F,5,A,c0,"[4.0, 9.999833612160536, 21.028478711558126, 4.155327930206493]",0.46127582379656695,-3.4142133564785127e-11,8.103363166198024e-33,-4.937413967336672,21.028478711558126,9.999833612160536,4.0,-0.20539117620343306,-0.24950617620343307,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800|8953|0.4621969,output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800,8953,0.4621968736987391,-4.091885971029676,a1p00_b1p00,B30F,5,A,c0,"[3.0, 9.999833612160536, 20.97326232828216, 4.14773213429971]",0.4621968736646759,-3.406319670773428e-11,8.091628404789095e-33,-4.091885972242892,20.97326232828216,9.999833612160536,3.0,-0.20447012633532413,-0.24858512633532415,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|11202|0.5006503,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,11202,0.5006503078871316,-4.920349832397817,a1p00_b1p00,B30F,5,A,c0,"[4.0, 9.999735246605434, 19.99946994637682, 4.289845225604086]",0.5006503077289703,-1.5816126186507518e-10,1.299856542789107e-30,-4.920349834472667,19.99946994637682,9.999735246605434,4.0,-0.16601669227102966,-0.21013169227102968,valid
