group,design,depth,exp_O,vs_gaussian,Nc_before,Nc_after,prob_before,prob_after,prob_gain,sqdb_before,sqdb_after,negvol_before,negvol_after,han_valid,after_source,provenance
00B_c30_a1p00_b1p00,00B,3,0.633099035936272,-0.0335676307303949,8,6,1.1239256765866624e-05,0.001875173603701801,10.524150488910234,7.714451939665156,11.976851765606387,2.8043416652970263,3.1529265547428382,True,architecture_rule,output_old/experiments/00B_c30_a1p00_b1p00/20260521-154804_p64_i2500#62
00B_c30_a1p00_b1p00,00B,3,0.633099035936272,-0.0335676307303949,8,6,1.1239256765866624e-05,0.001875173603701801,10.524150488910234,7.714451939665156,11.976851765606387,2.8043416652970263,3.1529265547428382,True,architecture_rule,experiments/00B_c30_a1p00_b1p00/20260521-154804_p64_i2500#62
00B_c30_a1p00_b1p00,00B,3,0.633099035936272,-0.0335676307303949,8,6,1.1239256765866624e-05,0.001875173603701801,10.524150488910234,7.714451939665156,11.976851765606387,2.8043416652970263,3.1529265547428382,True,architecture_rule,output_oldold/experiments/00B_c30_a1p00_b1p00/20260521-154804_p64_i2500#62
00B_c30_a1p00_b1p00,00B,3,0.6894452564579148,0.0227785897912478,10,4,5.633899686132268e-05,0.011744386642483515,40.809937024727176,9.85623203278759,9.737250340908735,2.711014574281089,2.717687288265934,True,architecture_rule,experiments/00B_c30_a1p00_b1p00/20260528-224333_p64_i2500#35
00B_c30_a1p00_b1p00,00B,3,0.6894452564579148,0.0227785897912478,10,4,5.633899686132268e-05,0.011744386642483515,40.809937024727176,9.85623203278759,9.737250340908735,2.711014574281089,2.717687288265934,True,architecture_rule,output_oldold/experiments/00B_c30_a1p00_b1p00/20260528-224333_p64_i2500#35
00B_c30_a1p00_b1p00,00B,3,0.6894452564579148,0.0227785897912478,10,4,5.633899686132268e-05,0.011744386642483515,40.809937024727176,9.85623203278759,9.737250340908735,2.711014574281089,2.717687288265934,True,architecture_rule,experiments/00B_c30_a1p00_b1p00/20260529-034221_p64_i2500#1050
00B_c30_a1p00_b1p00,00B,3,0.6894452564579148,0.0227785897912478,10,4,5.633899686132268e-05,0.011744386642483515,40.809937024727176,9.85623203278759,9.737250340908735,2.711014574281089,2.717687288265934,True,architecture_rule,output_oldold/experiments/00B_c30_a1p00_b1p00/20260529-034221_p64_i2500#1050
00B_c30_a1p00_b1p00,00B,3,0.6894452564579148,0.0227785897912478,10,4,5.633899686132268e-05,0.011744386642483515,40.809937024727176,9.85623203278759,9.737250340908735,2.711014574281089,2.717687288265934,True,architecture_rule,output_old/experiments/00B_c30_a1p00_b1p00/20260529-034221_p64_i2500#1050
00B_c30_a1p00_b1p00,00B,3,0.7220612760341069,0.0553946093674398,5,3,0.0020214624747421995,0.05422720630549823,6.9580986102321365,8.902076244428851,6.815395137209451,2.8990453234767717,2.200115627727276,True,architecture_rule,experiments/00B_c30_a1p00_b1p00/20260521-170446_p64_i2500#6
00B_c30_a1p00_b1p00,00B,3,0.7220612760341069,0.0553946093674398,5,3,0.0020214624747421995,0.05422720630549823,6.9580986102321365,8.902076244428851,6.815395137209451,2.8990453234767717,2.200115627727276,True,architecture_rule,output_oldold/experiments/00B_c30_a1p00_b1p00/20260521-170446_p64_i2500#6
00B_c30_a1p00_b1p00,00B,3,0.7220612760341069,0.0553946093674398,5,3,0.0020214624747421995,0.05422720630549823,6.9580986102321365,8.902076244428851,6.815395137209451,2.8990453234767717,2.200115627727276,True,architecture_rule,output_old/experiments/00B_c30_a1p00_b1p00/20260521-170446_p64_i2500#6
00B_c30_a1p00_b1p00,00B,3,0.7230889202399489,0.0564222535732819,14,6,0.05736382000815045,0.0,0.0,16.18927290896056,0.0,0.5910469951521852,4.8373872463751315,False,core_exact,experiments/00B_c30_a1p00_b1p00/20260521-031239_p64_i2500#455
00B_c30_a1p00_b1p00,00B,3,0.7230889202399489,0.0564222535732819,14,6,0.05736382000815045,0.0,0.0,16.18927290896056,0.0,0.5910469951521852,4.8373872463751315,False,core_exact,experiments/00B_c30_a1p00_b1p00/20260521-031239_p64_i2500#456
00B_c30_a1p00_b1p00,00B,3,0.7230889202399489,0.0564222535732819,14,6,0.05736382000815045,0.0,0.0,16.18927290896056,0.0,0.5910469951521852,4.8373872463751315,False,core_exact,output_old/experiments/00B_c30_a1p00_b1p00/20260521-031239_p64_i2500#455
00B_c30_a1p00_b1p00,00B,3,0.7230889202399489,0.0564222535732819,14,6,0.05736382000815045,0.0,0.0,16.18927290896056,0.0,0.5910469951521852,4.8373872463751315,False,core_exact,output_oldold/experiments/00B_c30_a1p00_b1p00/20260521-031239_p64_i2500#455
00B_c30_a1p00_b1p00,00B,3,0.7230889202399489,0.0564222535732819,14,6,0.05736382000815045,0.0,0.0,16.18927290896056,0.0,0.5910469951521852,4.8373872463751315,False,core_exact,output_oldold/experiments/00B_c30_a1p00_b1p00/20260521-031239_p64_i2500#456
00B_c30_a1p00_b1p00,00B,3,0.7263157694694397,0.0596491028027726,11,5,0.06530633954075421,0.0,0.0,14.828462075102017,0.0,1.0971180393415703,5.9316788794411766,False,core_exact,output_oldold/experiments/00B_c30_a1p00_b1p00/20260613-072014_p64_i2500#1604
00B_c30_a1p00_b1p00,00B,3,0.7263157694694397,0.0596491028027726,11,5,0.06530633954075421,0.0,0.0,14.828462075102017,0.0,1.0971180393415703,5.9316788794411766,False,core_exact,experiments/00B_c30_a1p00_b1p00/20260613-072014_p64_i2500#1604
00B_c30_a1p00_b1p00,00B,3,0.7265898609525454,0.0599231942858784,6,2,0.23299790751995228,0.0,0.0,15.159313082355323,0.0,1.1905654637990286,3.3864295161608142,False,core_exact,output_oldold/experiments/00B_c30_a1p00_b1p00/20260520-205637_p64_i2500#350
00B_c30_a1p00_b1p00,00B,3,0.7265898609525454,0.0599231942858784,6,2,0.23299790751995228,0.0,0.0,15.159313082355323,0.0,1.1905654637990286,3.3864295161608142,False,core_exact,experiments/00B_c30_a1p00_b1p00/20260520-205637_p64_i2500#350
00B_c30_a1p41_b1p41,00B,3,0.8870954138187921,-0.0724644716938436,8,4,1.5373029590779026e-06,0.014831042623081166,510.03737800082126,6.189221581438877,10.946635755449881,2.9739646659132477,3.137141507084507,True,architecture_rule,experiments/00B_c30_a1p41_b1p41/20260614-134123_p64_i2500#1301
00B_c30_a1p41_b1p41,00B,3,0.8870954138187921,-0.0724644716938436,8,4,1.5373029590779026e-06,0.014831042623081166,510.03737800082126,6.189221581438877,10.946635755449881,2.9739646659132477,3.137141507084507,True,architecture_rule,output_oldold/experiments/00B_c30_a1p41_b1p41/20260614-134123_p64_i2500#1301
00B_c30_a1p41_b1p41,00B,3,0.9211077895234244,-0.0384520959892111,6,6,0.0038220249087637455,0.005667462730429812,0.7263743973783736,9.368224611818896,9.15951819360361,1.9710610700944708,1.9710610700944708,True,architecture_rule,experiments/00B_c30_a1p41_b1p41/20260614-134123_p64_i2500#1300
00B_c30_a1p41_b1p41,00B,3,0.9211077895234244,-0.0384520959892111,6,6,0.0038220249087637455,0.005667462730429812,0.7263743973783736,9.368224611818896,9.15951819360361,1.9710610700944708,1.9710610700944708,True,architecture_rule,experiments/00B_c30_a1p41_b1p41/20260614-142849_p64_i2500#1303
