root,group,run,cell_idx,design,depth,modes,pnr_max,target_alpha,target_beta,exp_stored,exp_lo,exp_hi,herald_norm,herald_norm_lo,prob,logP,herald_prob_full,active_modes,max_pnr,total_photons,fired_modes,fp_budget,indep_fidelity,wigner_negvol,gs_eig,gaussian_limit,vs_gs,vs_gaussian,scorer_backend,moment_fast,is_artifact,artifact_reason,target_source,n_skipped_cells
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,300,00B,3,3,15,(1+0j),(1+1j),1.096441542766959,1.099656219701026,1.0964822879729816,0.9999936359409196,0.9982767859367577,0.0002605753831609554,-3.5840666149562668,0.0002605699924500846,1,5,5,1,6,0.9999999999999996,,0.10515430190994114,1.0,0.9913279860630405,0.09648228797298164,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,500,00B,3,3,15,(1+0j),(1+1j),1.0883876797993106,1.0896011950334532,1.0883768416387605,0.9999999423193398,0.9994190602166465,1.0,0.0,0.9999999097750322,2,0,0,0,1,1.0,,0.10515430190994114,1.0,0.9832225397288193,0.08837684163876047,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,501,00B,3,3,15,(1+0j),(1+1j),1.088106746072044,1.089371740503642,1.0880963671304023,0.9999999455694156,0.9994351147742314,1.0,0.0,0.9999999152784004,2,0,0,0,1,,,0.10515430190994114,1.0,0.9829420652204611,0.08809636713040225,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,502,00B,3,3,15,(1+0j),(1+1j),1.088106746072044,1.089371740503642,1.0880963671304023,0.9999999455694156,0.9994351147742314,1.0,0.0,0.9999999152784004,2,0,0,0,1,,,0.10515430190994114,1.0,0.9829420652204611,0.08809636713040225,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,503,00B,3,3,15,(1+0j),(1+1j),1.088106746072044,1.089371740503642,1.0880963671304023,0.9999999455694156,0.9994351147742314,1.0,0.0,0.9999999152784004,2,0,0,0,1,,,0.10515430190994114,1.0,0.9829420652204611,0.08809636713040225,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,504,00B,3,3,15,(1+0j),(1+1j),1.088106746072044,1.089371740503642,1.0880963671304023,0.9999999455694156,0.9994351147742314,1.0,0.0,0.9999999152784004,2,0,0,0,1,,,0.10515430190994114,1.0,0.9829420652204611,0.08809636713040225,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,1002,00B,3,3,15,(1+0j),(1+1j),1.0975315235105014,1.1008465212883911,1.0973794954448344,0.9999966952918414,0.9959941793093152,1.0,0.0,0.9999921094467276,4,0,0,0,1,,,0.10515430190994114,1.0,0.9922251935348932,0.09737949544483437,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,1800,00B,3,3,15,(1+0j),(1+1j),1.0869157323498617,1.0900428488351641,1.086881034911702,0.9999996825398993,0.9985073055210152,1.779395922376235e-05,-4.749727408986103,1.3750957807478565e-05,7,2,2,1,3,,,0.10515430190994114,1.0,0.9817267330017608,0.08688103491170196,breeding_fock,False,False,,alpha=config+beta=config,113
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,250,00B,3,3,15,(1+0j),(1+1j),1.072271591973972,1.0755692738717222,1.0722013415837355,0.9999991613335715,0.9979303004647592,1.0,0.0,0.9999982891175663,1,0,0,0,1,1.0000000000000004,,0.10515430190994114,1.0,0.9670470396737944,0.07220134158373548,breeding_fock,False,False,,alpha=config+beta=config,104
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,251,00B,3,3,15,(1+0j),(1+1j),1.072271591973972,1.0755692738717222,1.0722013415837355,0.9999991613335715,0.9979303004647592,1.0,0.0,0.9999982891175663,1,0,0,0,1,1.0000000000000004,,0.10515430190994114,1.0,0.9670470396737944,0.07220134158373548,breeding_fock,False,False,,alpha=config+beta=config,104
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,501,00B,3,3,15,(1+0j),(1+1j),1.0881964851489923,1.0894602145855083,1.0881861138850595,0.9999999456263466,0.9994353965831496,1.0,0.0,0.9999999153747661,2,0,0,0,1,,,0.10515430190994114,1.0,0.9830318119751184,0.08818611388505948,breeding_fock,False,False,,alpha=config+beta=config,104
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,503,00B,3,3,15,(1+0j),(1+1j),1.0881964851489923,1.0894602145855083,1.0881861138850595,0.9999999456263466,0.9994353965831496,1.0,0.0,0.9999999153747661,2,0,0,0,1,,,0.10515430190994114,1.0,0.9830318119751184,0.08818611388505948,breeding_fock,False,False,,alpha=config+beta=config,104
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,603,00B,3,3,15,(1+0j),(1+1j),1.0782033447022505,1.0841068284085584,1.078186838991864,0.9999992289764112,0.9972358325245291,0.25370449769823866,-0.595671833494817,0.25377900906781997,2,6,6,1,7,,,0.10515430190994114,1.0,0.9730325370819229,0.07818683899186407,breeding_fock,False,False,,alpha=config+beta=config,104
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,656,00B,3,3,15,(1+0j),(1+1j),1.0817469295878044,1.0887790045838193,1.0817382061772498,0.9999987355784795,0.9963164404968157,0.030676008981028794,-1.5132011437537987,0.03074890164998536,2,11,14,2,48,,,0.10515430190994114,1.0,0.9765839042673087,0.0817382061772498,breeding_fock,False,False,,alpha=config+beta=config,104
