root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,250,1.0722013415837355,0.0,1.0,0,0,0,0.07220134158373548,0.9670470396737944,,(1+0j),(1+1j)
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,251,1.0722013415837355,0.0,1.0,0,0,0,0.07220134158373548,0.9670470396737944,,(1+0j),(1+1j)
output_oldold/experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,250,1.0722013415837355,0.0,1.0,0,0,0,0.07220134158373548,0.9670470396737944,,(1+0j),(1+1j)
output_oldold/experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,251,1.0722013415837355,0.0,1.0,0,0,0,0.07220134158373548,0.9670470396737944,,(1+0j),(1+1j)
