root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
experiments,B30B_c30_a1p00_b1p00,20260224-171609_p64_i2500,40,0.5571741571838484,-4.888402656147296,1.2929964837989185e-05,10,3,4,-0.10949250948281852,0.45990135227020407,0.6972323544188447,(1+0j),(1+0j)
output_old/experiments,B30B_c30_a1p00_b1p00,20260224-171609_p64_i2500,40,0.5571741571838484,-4.888402656147296,1.2929964837989185e-05,10,3,4,-0.10949250948281852,0.45990135227020407,0.6972323544188447,(1+0j),(1+0j)
output_oldold/experiments,B30B_c30_a1p00_b1p00,20260224-171609_p64_i2500,40,0.5571741571838484,-4.888402656147296,1.2929964837989185e-05,10,3,4,-0.10949250948281852,0.45990135227020407,0.6972323544188446,(1+0j),(1+0j)
experiments,B30B_c30_a1p00_b1p00,20260224-173243_p64_i2500,41,0.5826713189896505,-4.433762036285362,3.683307384492337e-05,10,3,4,-0.08399534767701644,0.48539851407600615,0.7100308047248006,(1+0j),(1+0j)
output_old/experiments,B30B_c30_a1p00_b1p00,20260224-173243_p64_i2500,41,0.5826713189896505,-4.433762036285362,3.683307384492337e-05,10,3,4,-0.08399534767701644,0.48539851407600615,0.7100308047248008,(1+0j),(1+0j)
output_oldold/experiments,B30B_c30_a1p00_b1p00,20260224-173243_p64_i2500,41,0.5826713189896505,-4.433762036285362,3.683307384492337e-05,10,3,4,-0.08399534767701644,0.48539851407600615,0.7100308047248008,(1+0j),(1+0j)
experiments,B30B_c30_a1p00_b1p00,20260223-001701_p64_i2500,550,0.7221918948373173,-1.400909446900026,0.039727437501181136,2,1,2,0.05552522817065031,0.624919089923673,,(1+0j),(1+0j)
output_old/experiments,B30B_c30_a1p00_b1p00,20260223-001701_p64_i2500,550,0.7221918948373173,-1.400909446900026,0.039727437501181136,2,1,2,0.05552522817065031,0.624919089923673,,(1+0j),(1+0j)
output_oldold/experiments,B30B_c30_a1p00_b1p00,20260223-001701_p64_i2500,550,0.7221918948373173,-1.400909446900026,0.039727437501181136,2,1,2,0.05552522817065031,0.624919089923673,,(1+0j),(1+0j)
experiments,B30B_c30_a1p00_b1p00,20260222-193833_p64_i2500,957,0.7295720813624735,-1.2050650495080724,0.062364141821036854,14,1,14,0.06290541469580657,0.6322992764488292,,(1+0j),(1+0j)
output_oldold/experiments,B30B_c30_a1p00_b1p00,20260222-193833_p64_i2500,957,0.7295720813624735,-1.2050650495080724,0.062364141821036854,14,1,14,0.06290541469580657,0.6322992764488292,,(1+0j),(1+0j)
experiments,B30B_c30_a1p00_b1p00,20260223-221515_p64_i2500,402,0.7298612815487362,-0.7028835566911231,0.19820583853051063,10,1,10,0.06319461488206923,0.6325884766350919,,(1+0j),(1+0j)
output_oldold/experiments,B30B_c30_a1p00_b1p00,20260223-221515_p64_i2500,402,0.7298612815487362,-0.7028835566911231,0.19820583853051063,10,1,10,0.06319461488206923,0.6325884766350919,,(1+0j),(1+0j)
experiments,B30B_c30_a1p00_b1p00,20260224-184401_p64_i2500,19,0.7325143366321452,0.0,1.0,0,0,0,0.0658476699654782,0.6352415317185008,,(1+0j),(1+0j)
output_oldold/experiments,B30B_c30_a1p00_b1p00,20260224-184401_p64_i2500,19,0.7325143366321452,0.0,1.0,0,0,0,0.0658476699654782,0.6352415317185008,,(1+0j),(1+0j)
