root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
output_old/experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,2051,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,2051,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
output_old/experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,2052,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,2052,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,2053,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,2052,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,2053,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,2051,0.6936027465507556,-5.8810774974825675,1.3149901584301508e-06,13,5,4,-0.2659571389618801,0.587893246876129,1.3118304178833378,(1.4142+0j),(1+1j)
experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,800,0.9167408826356825,-2.436826358539737,0.0036574099449785268,11,3,4,-0.04281900287695317,0.8110313829610559,1.2397939517995422,(1.4142+0j),(1+1j)
experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,803,0.9167408826356825,-2.436826358539737,0.0036574099449785268,11,3,4,-0.04281900287695317,0.8110313829610559,1.2397939517995422,(1.4142+0j),(1+1j)
experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,800,0.9167408826356825,-2.436826358539737,0.0036574099449785268,11,3,4,-0.04281900287695317,0.8110313829610559,1.2397939517995422,(1.4142+0j),(1+1j)
output_old/experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,800,0.9167408826356825,-2.436826358539737,0.0036574099449785268,11,3,4,-0.04281900287695317,0.8110313829610559,1.2397939517995422,(1.4142+0j),(1+1j)
